Date,Sales,Type
2014-01-01,14236.895,Actual
2014-02-01,4519.892,Actual
2014-03-01,55691.009,Actual
2014-04-01,28295.345,Actual
2014-05-01,23648.287,Actual
2014-06-01,34595.1276,Actual
2014-07-01,33946.393,Actual
2014-08-01,27909.4685,Actual
2014-09-01,81777.3508,Actual
2014-10-01,31453.393,Actual
2014-11-01,78628.7167,Actual
2014-12-01,69545.6205,Actual
2015-01-01,18174.0756,Actual
2015-02-01,11951.411,Actual
2015-03-01,38726.252,Actual
2015-04-01,34195.2085,Actual
2015-05-01,30131.6865,Actual
2015-06-01,24797.292,Actual
2015-07-01,28765.325,Actual
2015-08-01,36898.3322,Actual
2015-09-01,64595.918,Actual
2015-10-01,31404.9235,Actual
2015-11-01,75972.5635,Actual
2015-12-01,74919.5212,Actual
2016-01-01,18542.490999999998,Actual
2016-02-01,22978.815,Actual
2016-03-01,51715.875,Actual
2016-04-01,38750.039000000004,Actual
2016-05-01,56987.728,Actual
2016-06-01,40344.534,Actual
2016-07-01,39261.963,Actual
2016-08-01,31115.3743,Actual
2016-09-01,73410.0249,Actual
2016-10-01,59687.745,Actual
2016-11-01,79411.9658,Actual
2016-12-01,96999.043,Actual
2017-01-01,43971.374,Actual
2017-02-01,20301.1334,Actual
2017-03-01,58872.3528,Actual
2017-04-01,36521.5361,Actual
2017-05-01,44261.1102,Actual
2017-06-01,52981.7257,Actual
2017-07-01,45264.416,Actual
2017-08-01,63120.888,Actual
2017-09-01,87866.652,Actual
2017-10-01,77776.9232,Actual
2017-11-01,118447.825,Actual
2017-12-01,83829.3188,Actual
2018-01-01,48322.8677230001,Forecast
2018-02-01,37999.75089599999,Forecast
2018-03-01,72463.18254000007,Forecast
2018-04-01,45924.57285350006,Forecast
2018-05-01,51799.13946650011,Forecast
2018-06-01,51032.19203600009,Forecast
2018-07-01,50351.849527500075,Forecast
2018-08-01,83444.66183549995,Forecast
2018-09-01,99760.71130449978,Forecast
2018-10-01,95302.71078399986,Forecast
2018-11-01,97077.94722849982,Forecast
2018-12-01,97328.20136049978,Forecast
